question_id,foi_status,sub5b_answer,sub1_answer,same_answer,question_mode,operator_guess,operator_family,source_dataset,foi,nsvs_indices_empty_count,nsvs_indices_total_arrays,has_entry
1,clean,Yes,Yes,True,bool,in_turn_occurs,in_turn_occurs,agqa,"[0, 34]",0,2,True
2,clean,A,A,True,mc,always_before,always_before,bf,"[165, 494]",0,2,True
3,partial,Yes,Yes,True,bool,unknown,unknown,bf,"[30, 1914]",1,2,True
4,clean,C,B,False,mc,always_before,always_before,bf,"[0, 2309]",0,2,True
5,clean,D,D,True,mc,always_before,always_before,bf,"[330, 1034]",0,2,True
6,clean,B,D,False,mc,always_before,always_before,bf,"[465, 1034]",0,2,True
7,bypassed,No,No,True,bool,before,before,agqa,[-1],0,0,True
8,partial,B,A,False,mc,until,until,ct,"[1, 15600]",1,2,True
9,bypassed,No,Yes,False,bool,after,after,agqa,[-1],0,0,True
10,clean,Yes,Yes,True,bool,after,after,ct,"[6571, 10918]",0,2,True
11,bypassed,C,C,True,mc,unknown,unknown,agqa,[-1],0,0,True
12,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
13,partial,B,B,True,mc,before,before,ct,"[3301, 4439]",1,2,True
14,clean,A,A,True,mc,always_before,always_before,bf,"[0, 374]",0,2,True
15,clean,C,C,True,mc,always_before,always_before,agqa,"[0, 46]",0,2,True
16,bypassed,C,C,True,mc,immediately_after,after,agqa,[-1],0,0,True
17,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
18,partial,B,B,True,mc,immediately_after,after,star,"[24, 53]",1,2,True
19,clean,B,B,True,mc,always_before,always_before,bf,"[540, 1919]",0,2,True
20,bypassed,Yes,No,False,bool,unknown,unknown,star,[-1],0,0,True
21,partial,B,C,False,mc,immediately_after,after,agqa,"[0, 24]",1,2,True
22,partial,C,C,True,mc,before,before,ct,"[5491, 5669]",1,2,True
23,clean,No,No,True,bool,unknown,unknown,agqa,"[0, 14]",0,2,True
24,partial,A,A,True,mc,until,until,ct,"[391, 4307]",1,2,True
25,bypassed,D,D,True,mc,in_turn_occurs,in_turn_occurs,ct,[-1],1,2,True
26,partial,B,B,True,mc,until,until,star,"[0, 19]",1,2,True
27,clean,No,No,True,bool,always_before,always_before,star,"[0, 28]",0,2,True
28,partial,A,A,True,mc,always_before,always_before,bf,"[0, 1140]",1,2,True
29,partial,B,B,True,mc,until,until,ct,"[991, 13079]",1,2,True
30,partial,C,C,True,mc,always_before,always_before,bf,"[30, 630]",1,2,True
31,bypassed,No,No,True,bool,always_after,always_after,agqa,[-1],0,0,True
32,partial,No,No,True,bool,always_before,always_before,ct,"[1681, 6089]",1,2,True
33,clean,C,B,False,mc,always_before,always_before,bf,"[1410, 2414]",0,2,True
34,partial,Yes,No,False,bool,unknown,unknown,star,"[0, 74]",1,2,True
35,bypassed,C,C,True,mc,unknown,unknown,agqa,[-1],0,0,True
36,partial,D,D,True,mc,always_before,always_before,ct,"[61, 8699]",1,2,True
37,clean,B,B,True,mc,always_before,always_before,bf,"[1770, 2684]",0,2,True
38,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 24]",1,2,True
39,clean,A,A,True,mc,always_before,always_before,bf,"[1380, 1740]",0,2,True
40,bypassed,Yes,Yes,True,bool,unknown,unknown,bf,[-1],0,0,True
41,partial,C,B,False,mc,always_before,always_before,bf,"[270, 1110]",1,2,True
42,bypassed,Yes,No,False,bool,unknown,unknown,star,[-1],0,0,True
43,bypassed,Yes,Yes,True,bool,unknown,unknown,star,[-1],0,0,True
44,bypassed,B,B,True,mc,always_before,always_before,agqa,[-1],1,2,True
45,clean,Yes,Yes,True,bool,always_before,always_before,agqa,"[0, 25]",0,2,True
46,bypassed,No,No,True,bool,always_before,always_before,star,[-1],0,0,True
47,clean,B,B,True,mc,always_before,always_before,bf,"[915, 1364]",0,2,True
48,bypassed,No,Yes,False,bool,unknown,unknown,bf,[-1],0,0,True
49,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,star,"[0, 25]",0,2,True
50,bypassed,D,D,True,mc,unknown,unknown,star,[-1],0,0,True
51,clean,D,A,False,mc,always_before,always_before,bf,"[765, 1574]",0,2,True
52,clean,A,D,False,mc,always_before,always_before,bf,"[1590, 1964]",0,2,True
53,clean,Yes,Yes,True,bool,after,after,ct,"[6301, 6749]",0,2,True
54,clean,No,No,True,bool,after,after,agqa,"[0, 34]",0,2,True
55,bypassed,C,C,True,mc,unknown,unknown,ct,[-1],0,0,True
56,bypassed,B,B,True,mc,always_after,always_after,star,[-1],0,0,True
57,missing_video,Yes,Yes,True,bool,unknown,unknown,unknown,,0,0,False
58,clean,A,A,True,mc,always_before,always_before,bf,"[960, 1574]",0,2,True
59,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
60,partial,No,Yes,False,bool,immediately_after,after,agqa,"[0, 34]",1,2,True
61,clean,A,A,True,mc,always_before,always_before,star,"[0, 49]",0,2,True
62,bypassed,C,C,True,mc,immediately_after,after,star,[-1],0,0,True
63,partial,Yes,Yes,True,bool,always_after,always_after,star,"[0, 27]",1,2,True
64,partial,B,B,True,mc,while,during,star,"[0, 42]",1,2,True
65,partial,D,A,False,mc,always_after,always_after,ct,"[3721, 3959]",1,2,True
66,partial,C,C,True,mc,always_before,always_before,star,"[0, 27]",1,2,True
67,clean,No,No,True,bool,immediately_after,after,agqa,"[0, 24]",0,2,True
68,partial,No,No,True,bool,always_after,always_after,star,"[0, 52]",1,2,True
69,partial,D,C,False,mc,after,after,ct,"[337, 6517]",1,2,True
70,bypassed,B,B,True,mc,after,after,star,[-1],0,0,True
71,clean,A,A,True,mc,always_before,always_before,ct,"[2911, 3448]",0,2,True
72,partial,Yes,Yes,True,bool,until,until,agqa,"[0, 29]",1,2,True
73,clean,B,B,True,mc,always_before,always_before,ct,"[3871, 4828]",0,2,True
74,bypassed,B,B,True,mc,unknown,unknown,star,[-1],0,0,True
75,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[5371, 5819]",0,2,True
76,clean,No,No,True,bool,immediately_after,after,ct,"[5521, 6089]",0,2,True
77,bypassed,B,B,True,mc,until,until,star,[-1],0,0,True
78,partial,A,A,True,mc,always_before,always_before,ct,"[38, 11738]",1,2,True
79,partial,No,No,True,bool,always_after,always_after,star,"[24, 24]",1,2,True
80,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 20]",1,2,True
81,clean,A,A,True,mc,in_turn_occurs,in_turn_occurs,ct,"[3031, 4498]",0,2,True
82,bypassed,A,A,True,mc,always_before,always_before,agqa,[-1],0,0,True
83,partial,C,C,True,mc,since,since,star,"[0, 24]",1,2,True
84,clean,Yes,No,False,bool,since,since,agqa,"[0, 44]",0,2,True
85,bypassed,B,B,True,mc,always_before,always_before,star,[-1],0,0,True
86,bypassed,C,C,True,mc,always_before,always_before,bf,[-1],0,2,True
87,clean,D,D,True,mc,always_before,always_before,agqa,"[0, 46]",0,2,True
88,clean,C,D,False,mc,always_before,always_before,bf,"[3765, 5219]",0,2,True
89,partial,C,C,True,mc,until,until,ct,"[361, 1487]",1,2,True
90,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
91,partial,C,A,False,mc,before,before,ct,"[4411, 5190]",1,2,True
92,clean,D,D,True,mc,always_before,always_before,bf,"[15, 1334]",0,2,True
93,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 54]",1,2,True
94,clean,C,A,False,mc,always_before,always_before,bf,"[2625, 3029]",0,2,True
95,bypassed,C,C,True,mc,always_before,always_before,star,[-1],1,2,True
96,partial,D,D,True,mc,after,after,star,"[0, 39]",1,2,True
97,clean,B,D,False,mc,always_before,always_before,bf,"[0, 224]",0,2,True
98,bypassed,Yes,Yes,True,bool,after,after,ct,[-1],0,2,True
99,partial,No,No,True,bool,after,after,agqa,"[0, 27]",1,2,True
100,clean,C,A,False,mc,always_before,always_before,bf,"[210, 554]",0,2,True
101,clean,No,No,True,bool,before,before,ct,"[4230, 4739]",0,2,True
102,partial,Yes,Yes,True,bool,unknown,unknown,ct,"[5850, 7950]",1,2,True
103,clean,Yes,Yes,True,bool,before,before,ct,"[4171, 5188]",0,2,True
104,clean,No,No,True,bool,always_before,always_before,ct,"[5161, 6508]",0,2,True
105,clean,D,D,True,mc,always_before,always_before,bf,"[1365, 1724]",0,2,True
106,partial,C,B,False,mc,immediately_after,after,star,"[0, 53]",1,2,True
107,clean,A,C,False,mc,always_before,always_before,bf,"[0, 389]",0,2,True
108,partial,C,C,True,mc,always_after,always_after,star,"[0, 32]",1,2,True
109,bypassed,Yes,Yes,True,bool,unknown,unknown,bf,[-1],0,0,True
110,clean,No,No,True,bool,after,after,ct,"[3264, 3578]",0,2,True
111,partial,A,A,True,mc,always_before,always_before,star,"[0, 69]",1,2,True
112,clean,D,D,True,mc,in_turn_occurs,in_turn_occurs,ct,"[625, 1199]",0,2,True
113,clean,C,C,True,mc,always_before,always_before,bf,"[750, 1034]",0,2,True
114,partial,C,C,True,mc,always_before,always_before,ct,"[0, 9869]",1,2,True
115,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
116,clean,No,No,True,bool,always_before,always_before,ct,"[1897, 2255]",0,2,True
117,bypassed,A,D,False,mc,when,when,agqa,[-1],0,0,True
118,partial,C,C,True,mc,always_after,always_after,star,"[0, 23]",1,2,True
119,bypassed,C,C,True,mc,always_before,always_before,agqa,[-1],0,0,True
120,clean,Yes,No,False,bool,after,after,star,"[0, 30]",0,2,True
121,bypassed,A,C,False,mc,always_before,always_before,agqa,[-1],0,0,True
122,bypassed,No,No,True,bool,always_before,always_before,ct,[-1],0,2,True
123,bypassed,C,C,True,mc,always_before,always_before,agqa,[-1],1,2,True
124,clean,No,No,True,bool,immediately_after,after,bf,"[1845, 2235]",0,2,True
125,partial,C,C,True,mc,until,until,ct,"[511, 4289]",1,2,True
126,partial,B,B,True,mc,always_before,always_before,bf,"[480, 540]",1,2,True
127,bypassed,B,B,True,mc,after,after,agqa,[-1],0,0,True
128,partial,D,D,True,mc,until,until,ct,"[2970, 5490]",1,2,True
129,clean,D,D,True,mc,always_before,always_before,ct,"[4921, 5638]",0,2,True
130,partial,Yes,Yes,True,bool,before,before,ct,"[0, 11789]",1,2,True
131,partial,Yes,No,False,bool,unknown,unknown,agqa,"[0, 9]",1,2,True
132,bypassed,B,B,True,mc,until,until,star,[-1],0,0,True
133,bypassed,B,B,True,mc,always_before,always_before,agqa,[-1],0,0,True
134,partial,B,B,True,mc,unknown,unknown,agqa,"[0, 28]",1,2,True
135,clean,A,A,True,mc,in_turn_occurs,in_turn_occurs,ct,"[4795, 5232]",0,2,True
136,partial,B,C,False,mc,immediately_after,after,agqa,"[0, 36]",1,2,True
