question_id,sub1_baseline_answer,sub5b_paper_faithful_fix2_answer,same_answer,proxy_label,mode,operator_guess,source_dataset,video_id,duration_seconds,duration_bucket,foi,foi_status,foi_seconds,nsvs_indices_any_empty,nsvs_indices_empty_count,foi_suspicious_reasons,retrieval_quality_bucket
4,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P03_webcam01_P03_friedegg.mp4,284.533,>60s,"[0, 2309]",non_minus1,154.0,False,0,,disagree_foi_clean
6,D,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P07_webcam01_P07_friedegg.mp4,199.267,>60s,"[465, 1034]",non_minus1,38.0,False,0,,disagree_foi_clean
8,A,B,False,sub1_baseline_preferred_proxy,mc,until,ct,ct_zlyrv-h97z8.mp4,563.363,>60s,"[1, 15600]",non_minus1,520.52,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
9,Yes,No,False,sub1_baseline_preferred_proxy,bool,after,agqa,agqa_L0HDB.mp4,2.12,2-10s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
20,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_YIIFF.mp4,0.96,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
21,C,B,False,sub1_baseline_preferred_proxy,mc,immediately_after,agqa,agqa_EDKXT.mp4,1.0,<2s,"[0, 24]",non_minus1,1.0,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
33,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P04_cam01_P04_scrambledegg.mp4,181.8,>60s,"[1410, 2414]",non_minus1,67.0,False,0,,disagree_foi_clean
34,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_WPU76.mp4,3.0,2-10s,"[0, 74]",non_minus1,3.0,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
41,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P50_cam01_P50_sandwich.mp4,77.133,>60s,"[270, 1110]",non_minus1,56.067,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
42,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_4GCPM.mp4,0.52,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
48,Yes,No,False,sub1_baseline_preferred_proxy,bool,unknown,bf,bf_P06_cam01_P06_pancake.mp4,332.4,>60s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
51,A,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P04_cam01_P04_scrambledegg.mp4,181.8,>60s,"[765, 1574]",non_minus1,54.0,False,0,,disagree_foi_clean
52,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P19_cam01_P19_pancake.mp4,263.6,>60s,"[1590, 1964]",non_minus1,25.0,False,0,,disagree_foi_clean
60,Yes,No,False,sub1_baseline_preferred_proxy,bool,immediately_after,agqa,agqa_1Q4SL.mp4,1.4,<2s,"[0, 34]",non_minus1,1.4,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
65,A,D,False,sub1_baseline_preferred_proxy,mc,always_after,ct,ct_J5zJqnLoWCU.mp4,240.407,>60s,"[3721, 3959]",non_minus1,9.968,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
69,C,D,False,sub1_baseline_preferred_proxy,mc,after,ct,ct_Jt2DA2jex7Y.mp4,271.855,>60s,"[337, 6517]",non_minus1,257.799,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
84,No,Yes,False,sub1_baseline_preferred_proxy,bool,since,agqa,agqa_APLZS.mp4,1.8,<2s,"[0, 44]",non_minus1,1.8,False,0,,disagree_foi_clean
88,D,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P46_cam01_P46_pancake.mp4,361.2,>60s,"[3765, 5219]",non_minus1,97.0,False,0,,disagree_foi_clean
91,A,C,False,sub1_baseline_preferred_proxy,mc,before,ct,ct_6mXnRdnzro0.mp4,309.709,>60s,"[4411, 5190]",non_minus1,26.026,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
94,A,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P26_webcam02_P26_friedegg.mp4,209.8,>60s,"[2625, 3029]",non_minus1,27.0,False,0,,disagree_foi_clean
97,D,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P51_webcam01_P51_friedegg.mp4,194.2,>60s,"[0, 224]",non_minus1,15.0,False,0,,disagree_foi_clean
